대여소번호,대여소명,자치구,상세주소,위도,경도,설치시기,LCD,QR,운영방식,자전거수,연도,월,일,요일
828.0,숙대입구역 8번,용산구,서울특별시 용산구 한강대로 289 숙대입구역 8번,37.54407883,126.97200012,2017-11-28 11:57:13.000,7.0,,LCD,7,2017,11,28,1
829.0,한강대교 북단 교차로,용산구,서울특별시 용산구 한강대로 23 베르가모앞,37.52293015,126.96169281,2017-11-28 11:57:57.000,40.0,,LCD,40,2017,11,28,1
830.0,강변삼성스위트아파트 앞,용산구,서울특별시 용산구 원효로 35 청암자이아파트앞,37.53442383,126.94857025,2017-11-28 11:58:57.000,10.0,,LCD,10,2017,11,28,1
831.0,이태원관광특구A(녹사평역쪽),용산구,서울특별시 용산구 이태원로 134 이태원관광특구입구,37.53427887,126.98856354,2017-11-28 11:59:45.000,10.0,,LCD,10,2017,11,28,1
832.0,이촌1동 주민센터 뒤,용산구,서울특별시 용산구 이촌로71길 24 이촌1동 주민센터 뒤,37.5212822,126.97346497,2017-12-22 14:16:58.000,20.0,,LCD,20,2017,12,22,4
834.0,효창공원앞역 3번출구 뒤,용산구,서울특별시 용산구 백범로 지하 287 효창공원앞역 3번출구 뒤,37.53900909,126.96138,2017-12-22 14:18:31.000,15.0,15.0,QR,30,2017,12,22,4
835.0,남영역 건너편,용산구,서울특별시 용산구 한강대로77길 18 남영역 건너편,37.54198074,126.97154236,2017-12-22 14:20:27.000,10.0,,LCD,10,2017,12,22,4
836.0,현대자동차서비스 앞,용산구,서울특별시 용산구 원효로 74 현대자동차서비스 앞,37.53142166,126.95149994,2017-12-22 14:21:30.000,15.0,,LCD,15,2017,12,22,4
837.0,한남나들목 입구,용산구,서울특별시 용산구 서빙고로 417 한남나들목 입구,37.52906036,127.00672913,2017-12-22 14:22:33.000,10.0,,LCD,10,2017,12,22,4
838.0,숙대입구역 4번출구,용산구,서울특별시 용산구 한강대로 지하 306 숙대입구역 4번출구,37.5444603,126.97238922,2018-12-14 00:00:00.000,8.0,,LCD,8,2018,12,14,4
839.0,보광동 삼성리버빌아파트 앞,용산구,서울특별시 용산구 보광로5길 40 보광동 삼성리버빌아파트 앞,37.5240097,127.00144958,2018-12-14 00:00:00.000,10.0,,LCD,10,2018,12,14,4
840.0,용산 파크타워 앞,용산구,서울특별시 용산구 서빙고로 67 용산 파크타워 앞,37.52365112,126.97026825,2018-10-14 00:00:00.000,10.0,,LCD,10,2018,10,14,6
841.0,신용산역 1번 출구,용산구,서울특별시 용산구 한강대로 100 신용산역 1번 출구,37.52960968,126.96887207,2018-10-12 00:00:00.000,15.0,30.0,QR,45,2018,10,12,4
843.0,이태원관광특구B(용산구청쪽),용산구,서울특별시 용산구 이태원로 134 녹사평역 광장,37.53379822,126.98867035,2018-10-07 00:00:00.000,10.0,19.0,QR,29,2018,10,7,6
